date,rainfall_mm,station,sta. ID,elevation (m),lat,long
1/1/2000,0,Cikao,32140303a,36,-6.5113,107.40296
1/2/2000,0,Cikao,32140303a,36,-6.5113,107.40296
1/3/2000,6,Cikao,32140303a,36,-6.5113,107.40296
1/4/2000,0,Cikao,32140303a,36,-6.5113,107.40296
1/5/2000,12,Cikao,32140303a,36,-6.5113,107.40296
1/6/2000,39,Cikao,32140303a,36,-6.5113,107.40296
1/7/2000,11,Cikao,32140303a,36,-6.5113,107.40296
1/8/2000,5,Cikao,32140303a,36,-6.5113,107.40296
1/9/2000,0,Cikao,32140303a,36,-6.5113,107.40296
1/10/2000,6,Cikao,32140303a,36,-6.5113,107.40296
1/11/2000,18,Cikao,32140303a,36,-6.5113,107.40296
1/12/2000,0,Cikao,32140303a,36,-6.5113,107.40296
1/13/2000,4,Cikao,32140303a,36,-6.5113,107.40296
1/14/2000,3,Cikao,32140303a,36,-6.5113,107.40296
1/15/2000,0,Cikao,32140303a,36,-6.5113,107.40296
1/16/2000,36,Cikao,32140303a,36,-6.5113,107.40296
1/17/2000,4,Cikao,32140303a,36,-6.5113,107.40296
1/18/2000,0,Cikao,32140303a,36,-6.5113,107.40296
1/19/2000,0,Cikao,32140303a,36,-6.5113,107.40296
1/20/2000,0,Cikao,32140303a,36,-6.5113,107.40296
1/21/2000,10,Cikao,32140303a,36,-6.5113,107.40296
1/22/2000,0,Cikao,32140303a,36,-6.5113,107.40296
1/23/2000,3,Cikao,32140303a,36,-6.5113,107.40296
1/24/2000,6,Cikao,32140303a,36,-6.5113,107.40296
1/25/2000,49,Cikao,32140303a,36,-6.5113,107.40296
1/26/2000,39,Cikao,32140303a,36,-6.5113,107.40296
1/27/2000,31,Cikao,32140303a,36,-6.5113,107.40296
1/28/2000,6,Cikao,32140303a,36,-6.5113,107.40296
1/29/2000,0,Cikao,32140303a,36,-6.5113,107.40296
1/30/2000,34,Cikao,32140303a,36,-6.5113,107.40296
1/31/2000,31,Cikao,32140303a,36,-6.5113,107.40296
2/1/2000,8,Cikao,32140303a,36,-6.5113,107.40296
2/2/2000,3,Cikao,32140303a,36,-6.5113,107.40296
2/3/2000,31,Cikao,32140303a,36,-6.5113,107.40296
2/4/2000,21,Cikao,32140303a,36,-6.5113,107.40296
2/5/2000,29,Cikao,32140303a,36,-6.5113,107.40296
2/6/2000,12,Cikao,32140303a,36,-6.5113,107.40296
2/7/2000,0,Cikao,32140303a,36,-6.5113,107.40296
2/8/2000,3,Cikao,32140303a,36,-6.5113,107.40296
2/9/2000,4,Cikao,32140303a,36,-6.5113,107.40296
2/10/2000,0,Cikao,32140303a,36,-6.5113,107.40296
2/11/2000,13,Cikao,32140303a,36,-6.5113,107.40296
2/12/2000,6,Cikao,32140303a,36,-6.5113,107.40296
2/13/2000,0,Cikao,32140303a,36,-6.5113,107.40296
2/14/2000,0,Cikao,32140303a,36,-6.5113,107.40296
2/15/2000,0,Cikao,32140303a,36,-6.5113,107.40296
2/16/2000,0,Cikao,32140303a,36,-6.5113,107.40296
2/17/2000,0,Cikao,32140303a,36,-6.5113,107.40296
2/18/2000,0,Cikao,32140303a,36,-6.5113,107.40296
2/19/2000,0,Cikao,32140303a,36,-6.5113,107.40296
2/20/2000,18,Cikao,32140303a,36,-6.5113,107.40296
2/21/2000,0,Cikao,32140303a,36,-6.5113,107.40296
2/22/2000,0,Cikao,32140303a,36,-6.5113,107.40296
2/23/2000,2,Cikao,32140303a,36,-6.5113,107.40296
2/24/2000,3,Cikao,32140303a,36,-6.5113,107.40296
2/25/2000,3,Cikao,32140303a,36,-6.5113,107.40296
2/26/2000,0,Cikao,32140303a,36,-6.5113,107.40296
2/27/2000,0,Cikao,32140303a,36,-6.5113,107.40296
2/28/2000,0,Cikao,32140303a,36,-6.5113,107.40296
2/29/2000,0,Cikao,32140303a,36,-6.5113,107.40296
3/1/2000,0,Cikao,32140303a,36,-6.5113,107.40296
3/2/2000,0,Cikao,32140303a,36,-6.5113,107.40296
3/3/2000,0,Cikao,32140303a,36,-6.5113,107.40296
3/4/2000,3,Cikao,32140303a,36,-6.5113,107.40296
3/5/2000,0,Cikao,32140303a,36,-6.5113,107.40296
3/6/2000,1,Cikao,32140303a,36,-6.5113,107.40296
3/7/2000,6,Cikao,32140303a,36,-6.5113,107.40296
3/8/2000,0,Cikao,32140303a,36,-6.5113,107.40296
3/9/2000,0,Cikao,32140303a,36,-6.5113,107.40296
3/10/2000,0,Cikao,32140303a,36,-6.5113,107.40296
